Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Pig,Unknown,No,Large White Pig,Grey,White,43.0,0,0,731.0,5,4
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,122.0,8,3
Cat,Female,Yes,Domestic Shorthair,Silver Tabby,Black,21.0,1,1,2192.0,9,1
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,21.0,1,0,89.0,4,1
Dog,Male,Yes,American Pit Bull Terrier,Brown Brindle,White,93.0,1,1,2701.0,5,4
Dog,Female,Yes,American Pit Bull Terrier,White,Black,111.0,0,1,731.0,3,0
Dog,Female,No,Maltese Terrier,Cream,Missing,1.0,0,1,1096.0,6,1
Cat,Male,Yes,Domestic Long Hair,Orange Tabby,Missing,230.0,1,1,4913.0,10,2
Dog,Female,Yes,Siberian Husky,Black,Grey,13.0,1,1,731.0,8,2
Dog,Male,Yes,Australian Cattle Dog,White,Brown,645.0,0,1,184.0,11,6
Dog,Female,Yes,Catahoula Leopard Dog,Tan,White,79.0,1,1,42.0,6,6
Mammal,Unknown,Unknown,Bat - Unspecified,Red,Missing,3.0,0,0,122.0,6,3
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,20.0,1,0,39.0,6,1
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,14.0,1,0,731.0,5,2
Cat,Male,Yes,Domestic Shorthair,White,Black,15.0,1,1,730.0,7,4
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,5.0,1,1,2922.0,7,6
Dog,Female,Yes,German Shepherd,Brown,Black,61.0,1,1,150.0,5,2
Kitten,Female,No,Domestic Medium Hair,Black,Missing,19.0,0,0,20.0,5,4
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,1.0,5,3
Kitten,Female,No,Domestic Shorthair,White,Brown Tabby,4.0,0,0,49.0,6,5
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,7.0,0,0,731.0,5,0
Dog,Male,yes,Yorkshire Terrier,Silver Fawn,Missing,9.0,1,1,1461.0,7,0
Dog,Male,Yes,Mastiff,Brown Brindle,White,35.0,1,1,1096.0,6,4
Cat,Male,Yes,Domestic Shorthair,White,Black,7.0,1,0,122.0,8,4
Cat,Female,Yes,Domestic Shorthair,White,Grey,8.0,1,0,51.0,6,0
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,White,60.0,1,1,28.0,5,0
Dog,Male,Yes,Rat Terrier,Tan,Missing,8.0,0,1,1451.0,5,2
Kitten,Male,No,Domestic Shorthair,Brown Tabby,White,3.0,0,0,122.0,7,3
Cat,Male,Unknown,Domestic Shorthair,Orange,Missing,12.0,0,0,731.0,7,3
Cat,Male,No,Domestic Shorthair,Black,White,5.0,0,1,212.0,9,4
Dog,Female,Yes,Yorkshire Terrier,Black,Brown,8.0,0,1,335.0,9,0
Dog,Male,Yes,Labrador Retriever,Tan,Black,7.0,1,0,69.0,5,2
Kitten,Unknown,Unknown,Domestic Shorthair,Grey Tabby,Missing,0.0,0,0,122.0,5,1
Cat,Male,Yes,Domestic Shorthair,Black,White,216.0,1,1,58.0,11,3
Kitten,Female,No,Domestic Shorthair,Blue,White,0.0,0,1,1.0,9,3
Cat,Male,Yes,Domestic Shorthair,Black,White,47.0,1,0,36.0,4,4
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,9.0,0,0,7.0,6,3
Dog,Female,Yes,Terrier,Black,White,13.0,0,1,731.0,7,5
Dog,Male,Yes,American Bulldog,Black,White,37.0,1,1,1096.0,5,0
Puppy,Male,No,American Pit Bull Terrier,White,Missing,0.0,0,1,62.0,9,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,31.0,1,1,517.0,5,3
Cat,Male,Yes,Domestic Shorthair,Black,White,0.0,0,1,2231.0,6,4
Dog,Male,yes,Schnauzer - Miniature,Black,White,8.0,1,0,365.0,7,0
Kitten,Male,No,Domestic Shorthair,Seal Point,Missing,0.0,0,0,21.0,7,1
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Black,85.0,0,0,122.0,5,4
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Missing,85.0,0,0,122.0,5,4
Mammal,Unknown,Unknown,Bat - Unspecified,Black,Black,86.0,0,0,122.0,5,3
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Black,86.0,0,0,122.0,5,3
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Black,86.0,0,0,122.0,5,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,13.0,0,0,731.0,6,0
Cat,Female,No,Siamese,Seal Point,White,27.0,0,0,61.0,6,2
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,11.0,1,0,90.0,6,4
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,58.0,1,1,182.0,4,2
Dog,Male,Yes,Plott Hound,Brown Brindle,Missing,14.0,0,1,122.0,8,1
Kitten,Male,yes,Domestic Shorthair,Black,White,14.0,1,1,75.0,8,4
Cat,Male,yes,Domestic Shorthair,Cream Ginger Tabby,White,7.0,1,0,122.0,7,0
Cat,Female,Yes,Domestic Shorthair,Calico,White,14.0,1,0,56.0,6,2
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,35.0,1,1,35.0,6,0
Cat,Female,Yes,Domestic Shorthair,Calico,White,37.0,1,1,45.0,5,2
Cat,Female,Unknown,Domestic Shorthair,Orange Tabby,Missing,1.0,0,0,14.0,5,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,58.0,1,1,49.0,6,6
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,10.0,0,0,365.0,5,3
Cat,Male,Yes,Domestic Shorthair,Black,Missing,32.0,1,1,119.0,6,4
Cat,Male,No,Domestic Medium Hair,Black,Missing,3.0,0,0,1461.0,7,0
Cat,Male,Yes,Domestic Shorthair,Blue,White,31.0,1,1,2739.0,4,1
Cat,Female,Yes,Domestic Shorthair,Black,White,46.0,1,0,36.0,4,4
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,2.0,0,0,14.0,5,1
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,7.0,1,0,55.0,6,0
Puppy,Female,No,Labrador Retriever,Tan,Missing,0.0,0,0,69.0,8,3
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,6.0,0,0,2557.0,7,0
Rodent,Male,No,Mouse,White,Yellow,22.0,1,1,61.0,5,3
Cat,Male,No,Domestic Shorthair,White,Missing,20.0,0,1,365.0,6,6
Cat,Female,No,Domestic Shorthair,Torbie,Missing,2.0,0,0,365.0,8,0
Dog,Female,Yes,American Bulldog,Black Brindle,White,47.0,1,1,850.0,7,0
Cat,Male,Yes,Siamese,Flame Point,Missing,17.0,1,1,1095.0,8,2
Dog,Male,Yes,Catahoula Leopard Dog,Blue Merle,Grey,109.0,1,1,1460.0,5,2
Dog,Female,yes,Labrador Retriever,Black,Tan,30.0,1,1,95.0,6,0
Mammal,Unknown,Unknown,Raccoon,Grey,Black,11.0,0,0,365.0,6,2
Cat,Female,yes,Domestic Shorthair,Black,Tabby,10.0,1,1,61.0,5,0
Cat,Female,yes,Domestic Shorthair,Blue,White,42.0,1,1,731.0,4,0
Dog,Male,No,American Bulldog,Black,Black,3.0,0,0,731.0,9,6
Kitten,Female,No,Domestic Shorthair,Black,White,12.0,0,0,35.0,9,6
Mammal,Unknown,Unknown,Bat - Little Brown Myotis,Brown,Dark Grey,0.0,0,1,122.0,6,2
Cat,Unknown,No,Domestic Shorthair,Black,Missing,2.0,0,0,365.0,9,0
Kitten,Male,yes,Domestic Shorthair,Brown Tabby,White,7.0,1,0,61.0,8,0
Dog,Female,Yes,Chihuahua - Long-hair,Brown,Tan,6.0,1,1,1844.0,8,1
Kitten,Male,yes,Domestic Shorthair,White,Brown Tabby,7.0,1,0,62.0,9,1
Dog,Female,Yes,Cairn Terrier,Tan,Missing,82.0,1,1,731.0,2,4
Cat,Unknown,Unknown,Domestic Shorthair,Seal Point,Missing,10.0,0,0,365.0,5,5
Dog,Female,Yes,American Pit Bull Terrier,Black,White,270.0,1,1,1827.0,9,4
Dog,Male,Yes,Pomeranian,Gold,White,7.0,0,1,364.0,5,3
Dog,Female,Yes,Carolina Dog,Buff,Missing,181.0,1,1,366.0,2,3
Rabbit,Female,Yes,Bunny Rabbit,Black,White,6.0,1,1,122.0,6,3
Puppy,Unknown,Unknown,American Pit Bull Terrier,Tan,Missing,37.0,0,0,7.0,6,3
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,38.0,1,1,4132.0,8,2
Dog,Male,Yes,Collie Rough,Tan,White,54.0,1,0,10.0,5,2
Kitten,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,30.0,1,1,65.0,8,1
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,4.0,0,1,3052.0,7,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,63.0,1,0,8.0,5,5
Cat,Female,Unknown,Domestic Medium Hair,White,Orange Tabby,3.0,0,0,184.0,9,4
Cat,Female,Yes,Domestic Shorthair,White,Black,8.0,1,1,49.0,5,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,9.0,0,0,731.0,6,4
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,4.0,0,0,731.0,7,2
Dog,Female,Yes,Labrador Retriever,Tan,White,251.0,1,1,731.0,1,4
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,50.0,1,1,91.0,7,3
Dog,Male,Yes,Labrador Retriever,Red Brown,White,222.0,1,1,731.0,11,3
Kitten,Male,Yes,Domestic Shorthair,Orange Tabby,White,11.0,1,1,76.0,9,1
Cat,Female,yes,Domestic Shorthair,Blue,Missing,41.0,1,1,43.0,6,2
Kitten,Female,Yes,Domestic Shorthair,Grey Tabby,Missing,31.0,1,1,42.0,8,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,9.0,1,0,179.0,9,0
Dog,Female,No,French Bulldog,White,Brown,21.0,0,0,731.0,6,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,9.0,1,1,91.0,7,2
Cat,Male,Yes,Domestic Shorthair,Blue,White,5.0,1,0,51.0,6,0
Cat,Female,No,Domestic Shorthair,Brown Tabby,White,0.0,0,0,28.0,5,4
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,78.0,1,1,4.0,4,2
Kitten,Female,No,Domestic Shorthair,Blue,White,10.0,0,0,28.0,8,0
Kitten,Male,No,Domestic Shorthair,White,Missing,0.0,0,0,14.0,8,0
Cat,Male,No,Domestic Shorthair,Brown Tabby,Brown,35.0,0,1,61.0,6,4
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,5.0,0,0,731.0,6,0
Dog,Male,Yes,Siberian Husky,Swiss Tri Color,Missing,36.0,1,1,135.0,5,3
Cat,Unknown,Unknown,Domestic Shorthair,White,Brown Tabby,3.0,0,0,1461.0,5,3
Dog,Male,Yes,German Shepherd,Brown,Black,63.0,1,1,3316.0,3,4
Dog,Female,Yes,Chihuahua - Smooth,White,Tan,361.0,1,1,2188.0,6,0
Kitten,Male,Yes,Domestic Shorthair,Orange Tabby,White,21.0,1,1,62.0,9,1
Kitten,Male,No,Domestic Shorthair,Cream Ginger Tabby,Missing,0.0,0,0,21.0,9,3
Kitten,Male,Unknown,Domestic Shorthair,Orange Tabby,Missing,5.0,0,0,21.0,7,6
Cat,Female,Yes,Domestic Shorthair,Blue,Missing,1.0,1,1,110.0,7,3
Cat,Unknown,Unknown,Domestic Shorthair,White,Tabby,0.0,0,0,243.0,8,0
Dog,Female,Yes,German Shepherd,Black,Tan,30.0,1,1,96.0,4,6
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,0.0,1,1,142.0,9,4
Cat,Unknown,Unknown,Domestic Shorthair,Orange Tabby,White,61.0,0,0,42.0,5,3
Dog,Female,Yes,Labrador Retriever,Black,Missing,4.0,0,1,92.0,8,4
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown Tabby,9.0,0,0,7.0,6,3
Cat,Female,Yes,Domestic Shorthair,Black,Missing,6.0,1,1,1096.0,5,0
Cat,Female,No,Domestic Shorthair,Torbie,Missing,0.0,0,0,20.0,5,5
Dog,Unknown,Unknown,French Bulldog,Black,White,1.0,0,1,731.0,6,4
Cat,Male,yes,Domestic Shorthair,Blue,Missing,8.0,1,0,212.0,8,0
Cat,Unknown,Unknown,Domestic Shorthair,Black,White,4.0,0,0,122.0,5,5
Cat,Male,Yes,Domestic Shorthair,Black,White,45.0,1,0,31.0,4,1
Dog,Male,Yes,Labrador Retriever,Black,Missing,102.0,0,1,3360.0,3,6
Cat,Unknown,Unknown,Domestic Shorthair,Blue,Missing,4.0,0,1,365.0,5,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,3.0,1,1,363.0,7,1
Dog,Female,Yes,BLACK MOUTH CUR,Brown,Black,43.0,1,1,547.0,5,5
Cat,Male,Yes,Domestic Shorthair,Black,White,11.0,1,0,106.0,6,3
Puppy,Male,No,Dachshund,White,Black,2.0,0,0,60.0,8,1
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,1.0,0,0,1096.0,7,2
Dog,Female,Yes,Rottweiler,Sable,Missing,53.0,1,1,6.0,3,1
Kitten,Unknown,Unknown,Domestic Shorthair,Black,Missing,3.0,0,0,21.0,5,4
Cat,Female,No,Domestic Shorthair,Black,Missing,23.0,0,0,34.0,4,1
Dog,Male,yes,Labrador Retriever,Black,White,21.0,1,1,122.0,7,2
Guinea Pig,Male,No,American Smooth Hair,Tri Color,Missing,77.0,0,1,1461.0,5,5
Cat,Male,No,Domestic Shorthair,Orange Tabby,White,5.0,0,0,727.0,9,4
Dog,Female,No,Labrador Retriever,Chocolate,White,5.0,0,1,92.0,6,2
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,8.0,1,1,731.0,9,3
Puppy,Male,No,American Pit Bull Terrier,Brown,Missing,3.0,0,0,62.0,9,4
Cat,Male,Yes,Domestic Shorthair,White,Brown Tabby,20.0,1,0,61.0,7,1
Cat,Male,yes,Domestic Shorthair,Tabby,White,34.0,1,0,56.0,6,2
Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Missing,9.0,0,0,49.0,7,4
Cat,Male,yes,Domestic Medium Hair,Brown Tabby,White,43.0,1,1,28.0,5,2
Mammal,Unknown,Unknown,Bat - Little Brown Myotis,Brown,Missing,1.0,0,0,122.0,6,0
Dog,Female,Yes,Boston Terrier,Black,White,16.0,1,1,746.0,4,4
Dog,Female,Yes,American Pit Bull Terrier,White,Black,85.0,1,1,365.0,5,2
Cat,Female,Yes,Domestic Shorthair,Blue,Missing,17.0,1,1,2192.0,8,1
Kitten,Unknown,Unknown,Domestic Shorthair,Black,Missing,0.0,0,0,5.0,8,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,7.0,1,1,61.0,5,3
Cat,Male,Yes,Domestic Shorthair,Black,White,71.0,1,1,91.0,7,3
Dog,Female,Yes,Catahoula Leopard Dog,Brown,Missing,252.0,1,1,402.0,11,3
Cat,Male,Yes,Domestic Shorthair,Grey Tabby,White,81.0,1,1,17.0,4,5
Cat,Unknown,No,Domestic Shorthair,Brown Tabby,Missing,20.0,0,1,731.0,6,4
Cat,Female,Yes,Domestic Shorthair,Black,White,127.0,1,0,4.0,3,2
Dog,Female,Yes,American Staffordshire Terrier,Blue,White,288.0,1,1,183.0,10,2
Puppy,Female,yes,Labrador Retriever,White,Brown,5.0,1,0,56.0,8,4
Dog,Female,Yes,Cairn Terrier,Tan,Missing,5.0,0,1,3869.0,7,6
Dog,Female,Yes,Labrador Retriever,Black,Missing,13.0,1,1,1096.0,5,4
Cat,Male,Yes,Domestic Shorthair,Cream Ginger Tabby,Missing,40.0,1,1,42.0,3,0
Cat,Male,Yes,Domestic Shorthair,Black,White,27.0,1,1,121.0,8,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,127.0,1,0,4.0,3,2
Dog,Male,yes,Australian Cattle Dog,Ticked,White,80.0,1,1,1096.0,7,5
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,32.0,1,1,61.0,5,1
Dog,Male,Yes,American Pit Bull Terrier,Brown,White,64.0,1,1,773.0,4,4
Dog,Female,Yes,Yorkshire Terrier,Black,Tan,5.0,1,0,2192.0,5,2
Dog,Unknown,Unknown,German Shepherd,Brown,Black,1.0,0,1,122.0,5,5
Dog,Unknown,Unknown,Labrador Retriever,Black,White,0.0,0,0,122.0,5,2
Kitten,Male,No,Domestic Shorthair,Blue,White,0.0,0,0,7.0,9,1
Dog,Male,Yes,Labrador Retriever,Black,White,129.0,0,1,304.0,3,2
Kitten,Male,yes,Siamese,Flame Point,Missing,15.0,1,0,49.0,9,1
Mammal,Unknown,Unknown,Bat - Unspecified,Black,Brown,0.0,0,0,122.0,5,2
Puppy,Male,Yes,Labrador Retriever,Brown,Blonde,10.0,1,1,56.0,8,4
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,122.0,5,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,146.0,0,1,777.0,3,5
Cat,Female,Yes,Domestic Medium Hair,Cream,White,63.0,1,1,47.0,6,3
Dog,Female,Yes,Doberman Pinscher,Black,Tan,106.0,0,1,243.0,3,5
Dog,Male,Yes,American Pit Bull Terrier,White,Red,411.0,1,1,815.0,4,3
Cat,Female,yes,Domestic Shorthair,Brown Tabby,Missing,9.0,1,1,122.0,7,0
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,3.0,0,0,731.0,7,1
Cat,Unknown,Unknown,Domestic Shorthair,Torbie,Missing,6.0,0,0,122.0,7,2
Kitten,Male,No,Domestic Shorthair,Black,Missing,1.0,0,0,7.0,9,6
Kitten,Male,No,Domestic Shorthair,Orange Tabby,Orange Tabby,0.0,0,0,7.0,9,4
Dog,Male,Yes,Boxer,Tan,White,3.0,0,1,3651.0,5,6
Cat,Female,No,Domestic Shorthair,White,Brown Tabby,0.0,0,0,20.0,5,5
Dog,Male,Yes,Labrador Retriever,Brown,Tan,249.0,1,1,731.0,11,6
Cat,Female,No,Domestic Shorthair,Black Tortoiseshell,Black,39.0,0,1,1826.0,7,4
Dog,Female,No,Yorkshire Terrier,Black,Brown,4.0,0,0,1096.0,7,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,60.0,1,1,181.0,3,1
Mammal,Unknown,Unknown,Skunk - Striped,Black,White,18.0,0,0,122.0,8,1
Dog,Female,Yes,WELSH CORGI PEM,Tan,Black,61.0,1,1,731.0,5,3
Cat,Female,Unknown,Domestic Shorthair,Orange Tabby,Missing,0.0,0,0,365.0,7,2
Cat,Female,Yes,Domestic Shorthair,Torbie,White,14.0,1,1,1826.0,9,1
Cat,Male,yes,Domestic Shorthair,Black,White,8.0,1,0,122.0,7,0
Dog,Female,Yes,French Bulldog,White,Black,2.0,1,1,314.0,8,2
Dog,Female,Yes,Dachshund - Smooth,Chocolate,White,11.0,1,1,132.0,8,2
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,9.0,0,1,62.0,7,2
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,22.0,1,1,92.0,7,2
Dog,Unknown,No,Boxer,Brown,Missing,33.0,0,0,-2.0,5,3
Dog,Male,No,Golden Retriever,Gold,Missing,23.0,1,1,2557.0,6,4
Kitten,Female,No,Domestic Shorthair,Brown Tabby,White,3.0,0,0,53.0,8,4
Dog,Male,Yes,Dachshund - Smooth,Brown,White,4.0,1,0,56.0,5,3
Dog,Male,Yes,Schnauzer - Miniature,Silver,Missing,6.0,1,1,5114.0,7,3
Dog,Female,Yes,Chihuahua - Smooth,Tan,White,8.0,1,0,2549.0,5,0
Dog,Male,Yes,Labrador Retriever,Brown Brindle,White,0.0,1,1,97.0,5,0
Kitten,Male,Yes,Domestic Shorthair,Black,Missing,36.0,1,1,30.0,7,0
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,Missing,9.0,0,1,1096.0,8,1
Cat,Male,Yes,Domestic Medium Hair,Orange Tabby,White,42.0,1,1,42.0,6,5
Dog,Male,No,American Bulldog,White,Brown Brindle,21.0,0,1,1461.0,8,0
Cat,Male,yes,Domestic Shorthair,Brown Tabby,Missing,7.0,1,0,74.0,7,2
Cat,Male,No,Domestic Shorthair,Orange,White,3.0,0,0,2192.0,7,5
Cat,Male,No,Domestic Shorthair,Brown Tabby,White,3.0,0,0,1826.0,9,5
Kitten,Male,No,Domestic Shorthair,Orange Tabby,Missing,8.0,0,0,35.0,7,2
Cat,Male,No,Domestic Shorthair,Orange Tabby,White,2.0,0,0,28.0,6,1
Kitten,Unknown,Unknown,Domestic Medium Hair,Black,Missing,0.0,0,0,7.0,8,2
Dog,Female,Yes,American Pit Bull Terrier,Brown Brindle,White,32.0,1,1,731.0,7,4
Dog,Female,No,American Pit Bull Terrier,Black,White,0.0,0,0,731.0,7,6
Cat,Female,Yes,Domestic Shorthair,Blue,White,57.0,1,1,28.0,5,1
Kitten,Unknown,Unknown,Domestic Shorthair,Black,Missing,0.0,0,0,7.0,9,6
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Missing,79.0,0,0,122.0,5,5
Mammal,Unknown,No,Bat - Unspecified,Brown,Missing,79.0,0,0,122.0,5,5
Dog,Male,Yes,German Shepherd,Tri Color,Missing,21.0,1,1,153.0,8,2
Dog,Female,Yes,American Pit Bull Terrier,Grey,Missing,18.0,1,1,1137.0,6,1
Puppy,Male,No,Pug,Tan,Black,9.0,0,1,56.0,8,4
Dog,Male,Yes,American Bulldog,Brown Brindle,White,225.0,1,1,1827.0,2,6
Cat,Female,Yes,Domestic Shorthair,Black,Missing,46.0,1,1,22.0,4,4
Cat,Male,No,Domestic Shorthair,Orange Tabby,Missing,3.0,0,0,3.0,5,5
Cat,Female,Yes,Domestic Shorthair,Grey Tabby,Missing,11.0,1,0,73.0,7,3
Cat,Female,Yes,Domestic Shorthair,White,Black,84.0,1,1,547.0,3,3
Dog,Female,Yes,Labrador Retriever,Black,Missing,106.0,1,1,83.0,6,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,36.0,1,1,731.0,4,1
Cat,Female,Yes,Domestic Shorthair,Blue,White,49.0,1,1,12.0,4,3
Dog,Female,No,Pug,Tan,Black,3.0,0,0,167.0,8,0
Dog,Unknown,Unknown,Labrador Retriever,Black,Missing,3.0,0,0,2.0,5,6
Dog,Female,yes,American Staffordshire Terrier,Brown,White,15.0,1,1,731.0,8,1
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,4.0,0,0,731.0,5,2
Cat,Male,Yes,Domestic Shorthair,Black,Missing,8.0,1,1,243.0,8,3
Kitten,Male,Yes,Domestic Shorthair,Grey Tabby,White,42.0,1,1,42.0,7,1
Cat,Male,No,Domestic Shorthair,Seal Point,Missing,8.0,0,0,21.0,5,1
Cat,Male,No,Domestic Shorthair,Orange,Missing,28.0,0,1,731.0,6,1
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,8.0,1,1,91.0,7,2
Kitten,Male,No,Siamese,Lilac Point,Missing,6.0,0,0,21.0,5,1
Cat,Male,Yes,Domestic Shorthair,Grey Tabby,Missing,57.0,1,1,37.0,5,5
Cat,Female,Yes,Domestic Long Hair,Tabby,White,3.0,1,1,3141.0,8,4
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,61.0,1,1,22.0,4,3
Cat,Unknown,Unknown,Domestic Shorthair,Orange,White,5.0,0,0,122.0,7,5
Dog,Male,No,American Pit Bull Terrier,White,Black,69.0,1,1,119.0,5,3
Cat,Male,Yes,Domestic Shorthair,White,Orange Tabby,7.0,1,0,91.0,7,3
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Missing,2.0,0,0,731.0,6,0
Dog,Female,Unknown,Catahoula Leopard Dog,White,Brown Brindle,6.0,0,1,70.0,5,3
Cat,Female,Yes,Domestic Shorthair,Calico,White,12.0,1,1,4490.0,7,5
Cat,Female,yes,Domestic Shorthair,Calico,White,6.0,1,1,59.0,5,1
Dog,Female,Yes,French Bulldog,Blue,White,45.0,1,1,416.0,5,5
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,35.0,7,2
Dog,Male,No,American Pit Bull Terrier,White,Black,9.0,0,1,731.0,6,5
Cat,Male,Yes,Domestic Shorthair,Black,Missing,37.0,1,1,375.0,4,4
Cat,Male,Unknown,Domestic Shorthair,Orange Tabby,Missing,4.0,0,0,731.0,6,5
Cat,Female,yes,Domestic Medium Hair,Calico,Missing,11.0,1,0,364.0,8,4
Dog,Male,Yes,Chihuahua - Smooth,Red,Missing,4.0,1,1,1460.0,6,4
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,11.0,1,0,49.0,6,1
Dog,Male,Yes,Coonhound,Brown Brindle,Brown Brindle,16.0,1,0,102.0,5,0
Dog,Female,Yes,Chihuahua - Smooth,Brown,White,6.0,1,1,55.0,5,0
Dog,Female,Yes,German Shepherd,Brown,Missing,14.0,1,1,151.0,5,4
Cat,Male,Yes,Domestic Shorthair,Black,White,143.0,1,1,366.0,1,4
Cat,Female,No,Domestic Shorthair,Black,Missing,1.0,0,0,731.0,9,2
Cat,Female,yes,Domestic Shorthair,Black,Missing,117.0,1,1,4573.0,3,5
Cat,Female,Yes,Domestic Shorthair,Black,Missing,44.0,1,1,365.0,4,1
Dog,Female,Yes,American Staffordshire Terrier,Brown,White,11.0,1,1,181.0,7,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,64.0,1,0,4.0,4,2
Kitten,Female,yes,Domestic Shorthair,Black,White,8.0,1,1,92.0,9,1
Kitten,Male,Yes,Siamese,Seal Point,Missing,39.0,1,1,41.0,8,0
Cat,Female,Yes,Domestic Shorthair,Torbie,Tabby,58.0,1,1,49.0,6,2
Dog,Female,Yes,Australian Cattle Dog,White,Merle,39.0,1,1,792.0,7,0
Kitten,Male,Yes,Domestic Shorthair,Blue Ticked,White,29.0,1,0,42.0,8,3
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,50.0,1,1,61.0,6,4
Dog,Female,Yes,American Pit Bull Terrier,Tan,White,15.0,1,1,61.0,6,1
Cat,Female,No,Domestic Shorthair,White,Brown Tabby,0.0,0,0,731.0,5,4
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,24.0,1,1,365.0,8,3
Kitten,Unknown,Unknown,Domestic Shorthair,Blue,Missing,0.0,0,0,28.0,8,4
Cat,Male,No,Domestic Shorthair,Orange Tabby,Tabby,5.0,0,0,14.0,5,0
Dog,Male,No,Pomeranian,Brown,Tan,4.0,0,0,730.0,8,4
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,4.0,0,0,731.0,5,4
Puppy,Female,No,Dachshund,White,Missing,2.0,0,0,60.0,8,1
Dog,Male,Yes,German Shepherd,Black,Brown,18.0,0,1,1102.0,7,4
Dog,Unknown,No,Boxer,Brown,Missing,33.0,0,0,-2.0,5,3
Dog,Male,Yes,Labrador Retriever,Black,Tan,24.0,1,1,242.0,7,2
Dog,Male,Yes,American Pit Bull Terrier,Blue,White,94.0,1,1,730.0,5,1
Kitten,Female,No,Domestic Shorthair,Blue,Missing,0.0,0,0,35.0,8,2
Dog,Female,Yes,Siberian Husky,White,Grey,260.0,1,1,671.0,9,1
Dog,Female,yes,Siberian Husky,Black,White,10.0,1,1,303.0,8,4
