Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,Missing,10.0,1,1,731.0,5,6
Puppy,Male,Yes,Siberian Husky,Black,White,58.0,1,1,7.0,6,3
Cat,Female,Yes,Domestic Long Hair,Tortoiseshell,Missing,5.0,1,1,3653.0,7,5
Kitten,Unknown,Unknown,Domestic Shorthair,White,Missing,4.0,0,0,14.0,8,0
Kitten,Female,Yes,Domestic Shorthair,Black,Missing,64.0,1,0,21.0,7,3
Dog,Male,Yes,German Shepherd,Black,Brown,47.0,1,1,731.0,4,1
Mammal,Unknown,Unknown,Bat - Unspecified,Black,Missing,15.0,0,0,122.0,6,4
Cat,Male,No,Domestic Shorthair,Black,Missing,6.0,0,0,731.0,7,2
Kitten,Female,No,Domestic Shorthair,Calico,White,12.0,0,0,35.0,6,0
Dog,Female,Yes,American Pit Bull Terrier,Brown,White,78.0,1,1,731.0,4,2
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,14.0,5,5
Cat,Unknown,Unknown,Domestic Shorthair,White,Missing,15.0,0,0,1826.0,7,4
Kitten,Female,No,Domestic Shorthair,Tortoiseshell,Missing,0.0,0,0,14.0,8,3
Kitten,Unknown,No,Domestic Shorthair,Brown Tabby,Missing,22.0,0,0,-8.0,5,6
Cat,Female,Yes,Domestic Long Hair,Brown,White,6.0,1,1,2991.0,7,2
Cat,Female,Yes,Domestic Shorthair,Blue,Tabby,14.0,1,0,44.0,6,0
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,9.0,0,1,62.0,7,2
Dog,Male,Yes,Schnauzer - Miniature,Wheaten,Missing,8.0,1,1,2192.0,6,6
Dog,Female,yes,Labradoodle,Tan,Missing,9.0,1,1,149.0,7,1
Dog,Male,No,German Shepherd,Black,Brown,26.0,0,1,731.0,7,1
Dog,Female,No,Great Pyrenees,White,Missing,8.0,0,1,364.0,9,4
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,4.0,1,1,3287.0,7,2
Guinea Pig,Male,No,Rex,Tri Color,Missing,36.0,1,1,731.0,6,4
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,12.0,1,1,193.0,9,4
Dog,Female,No,Siberian Husky,Brown,White,1.0,0,0,30.0,5,0
Dog,Female,Yes,American Pit Bull Terrier,Black,White,177.0,1,1,1602.0,12,4
Cat,Female,Yes,Domestic Medium Hair,Blue,Missing,39.0,1,1,47.0,6,3
Cat,Female,yes,Domestic Medium Hair,Tortoiseshell,Missing,18.0,1,1,731.0,8,5
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,15.0,1,1,731.0,7,1
Cat,Female,yes,Domestic Shorthair,Torbie,White,17.0,1,1,242.0,7,5
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,8.0,1,1,90.0,7,0
Dog,Female,Yes,Cavalier King Charles Spaniel,Brown,White,4.0,0,1,2192.0,7,5
Cat,Female,yes,Domestic Shorthair,Tortoiseshell,White,44.0,1,1,89.0,6,0
Dog,Female,yes,Dutch Shepherd,Black,Black,38.0,1,1,2922.0,7,4
Puppy,Female,No,Great Pyrenees,White,Missing,4.0,0,1,92.0,9,3
Cat,Female,Yes,Domestic Shorthair,White,Missing,12.0,1,1,129.0,8,4
Kitten,Male,No,Domestic Shorthair,Silver Tabby,Missing,0.0,0,1,21.0,8,5
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Black,4.0,0,0,39.0,6,1
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,3.0,1,0,61.0,5,5
Cat,Female,Unknown,Domestic Shorthair,Calico,Missing,3.0,0,0,731.0,7,1
Cat,Male,Yes,Domestic Shorthair,White,Brown Tabby,59.0,1,1,42.0,5,1
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,5.0,0,1,2922.0,8,4
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,77.0,1,1,13.0,5,5
Cat,Male,No,Domestic Shorthair,Orange Tabby,White,0.0,0,0,42.0,6,4
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,3.0,0,0,364.0,6,3
Cat,Male,Yes,Domestic Shorthair,Blue,White,40.0,1,1,365.0,5,5
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,34.0,1,1,35.0,6,0
Puppy,Female,Yes,Labrador Retriever,Black,Tan,17.0,1,1,61.0,8,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,53.0,1,0,40.0,4,1
Cat,Male,No,Domestic Shorthair,Cream Ginger Tabby,Missing,11.0,0,1,11.0,5,4
Cat,Male,Yes,Domestic Shorthair,Black,White,67.0,1,1,30.0,5,2
Dog,Male,Yes,American Pit Bull Terrier,Chocolate,White,5.0,0,1,1096.0,7,2
Dog,Female,Yes,German Shepherd,Tan,Black,5.0,0,0,731.0,8,3
Dog,Female,yes,German Shepherd,Cream,Buff,15.0,1,1,212.0,8,6
Rabbit,Female,Yes,American,White,Silver,16.0,1,1,122.0,7,1
Cat,Female,Yes,Domestic Shorthair,Calico,White,9.0,1,0,55.0,6,1
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,27.0,1,1,750.0,7,0
Dog,Female,No,Labrador Retriever,Brown,Missing,2.0,0,1,731.0,8,1
Dog,Male,Yes,Labrador Retriever,Black,Missing,282.0,1,1,792.0,8,3
Dog,Female,Yes,American Staffordshire Terrier,Black,White,8.0,1,1,150.0,7,0
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,4.0,1,0,364.0,8,0
Dog,Female,yes,Keeshond,Red Brown,Brown,3.0,1,0,61.0,5,0
Dog,Male,No,Chihuahua - Long-hair,Black,Brown,4.0,0,1,2981.0,9,1
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,731.0,8,0
Kitten,Unknown,Unknown,Domestic Shorthair,Orange Tabby,Cream,0.0,0,0,7.0,9,6
Dog,Female,Yes,American Pit Bull Terrier,Blue,Missing,3.0,0,1,731.0,8,1
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,5.0,0,0,42.0,6,0
Cat,Female,Yes,Domestic Shorthair,Cream Ginger Tabby,Missing,37.0,1,1,68.0,6,2
Kitten,Male,yes,Domestic Shorthair,Orange Tabby,White,8.0,1,0,61.0,8,0
Kitten,Male,No,Domestic Shorthair,Black,White,0.0,0,0,1.0,8,3
Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,37.0,1,1,28.0,8,6
Kitten,Male,No,Domestic Shorthair,Orange Tabby,Missing,19.0,0,1,41.0,7,2
Cat,Male,Yes,Domestic Medium Hair,Black,Black,125.0,1,1,36.0,5,0
Dog,Male,Yes,Siberian Husky,Cream,White,21.0,1,1,151.0,6,2
Kitten,Female,Unknown,Domestic Shorthair,Grey Tabby,Black,4.0,0,0,59.0,6,1
Cat,Female,Yes,Domestic Shorthair,White,Black,79.0,1,1,-1.0,3,3
Dog,Male,Yes,German Shepherd,Brown,Missing,4.0,1,0,56.0,5,3
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,1.0,8,0
Cat,Unknown,Unknown,Domestic Medium Hair,Black,White,2.0,0,0,365.0,7,0
Puppy,Female,No,German Shepherd,Black,Missing,10.0,0,0,44.0,8,0
Cat,Unknown,Unknown,Domestic Shorthair,Torbie,Missing,4.0,0,0,122.0,5,5
Cat,Female,Yes,Domestic Shorthair,BLUE TABBY,Missing,44.0,1,1,304.0,3,4
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,32.0,1,0,61.0,6,4
Cat,Male,Yes,Domestic Shorthair,Black,White,198.0,1,1,276.0,2,4
Cat,Female,No,Domestic Shorthair,Brown Tabby,Black,0.0,0,0,28.0,5,5
Dog,Female,Yes,Labrador Retriever,Tri Color,Black,63.0,1,1,7.0,4,2
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,White,115.0,1,1,365.0,5,1
Dog,Female,Yes,English Bulldog,White,Black,5.0,1,1,1509.0,8,0
Dog,Female,Yes,American Pit Bull Terrier,Blue,White,44.0,1,1,365.0,6,0
Kitten,Male,No,Domestic Shorthair,Orange Tabby,Missing,8.0,0,0,35.0,7,2
Cat,Male,Unknown,Domestic Shorthair,Grey Tabby,White,3.0,0,1,731.0,6,4
Kitten,Female,Unknown,Domestic Shorthair,Grey,White,0.0,0,0,7.0,8,0
Dog,Female,Yes,West Highland White Terrier,White,Missing,13.0,1,1,731.0,8,2
Cat,Male,yes,Domestic Shorthair,Brown Tabby,Brown,18.0,1,0,51.0,5,0
Kitten,Female,Yes,Domestic Shorthair,Muted Tortoiseshell,Missing,9.0,1,1,56.0,9,1
Cat,Male,Unknown,Domestic Shorthair,Blue,Missing,3.0,0,0,122.0,7,3
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown,4.0,0,0,122.0,6,1
Dog,Male,Yes,Border Terrier,Tan,White,47.0,0,1,1461.0,4,6
Dog,Male,Yes,Belgian Shepherd Dog - Malinois,Chocolate,Black,32.0,1,1,1556.0,8,2
Kitten,Unknown,Unknown,Domestic Shorthair,Grey Tabby,Missing,0.0,0,0,122.0,5,1
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,1.0,5,3
Dog,Male,Yes,American Bulldog,Brown Brindle,Missing,16.0,0,1,1461.0,4,6
Dog,Female,Yes,Beagle,Brown,Black,12.0,1,1,242.0,8,4
Cat,Female,yes,Domestic Shorthair,Black,White,53.0,1,1,365.0,4,3
Reptile,Unknown,Unknown,Desert Tortoise,Brown,Missing,0.0,0,0,122.0,9,1
Dog,Female,No,Shih Tzu,White,Missing,3.0,0,1,1277.0,7,3
Dog,Male,No,Yorkshire Terrier,Tan,Missing,4.0,0,0,731.0,8,1
Dog,Female,Yes,Labrador Retriever,White,Brown,18.0,1,1,110.0,7,3
Cat,Female,Yes,Domestic Shorthair,BLUE TABBY,Missing,223.0,1,1,2557.0,1,2
Cat,Unknown,Unknown,Domestic Shorthair,Orange Tabby,Missing,3.0,0,0,42.0,6,3
Dog,Male,Yes,Australian Cattle Dog,Blue Merle,Missing,40.0,1,1,542.0,8,2
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,67.0,1,0,6.0,4,1
Puppy,Female,Yes,American Pit Bull Terrier,Black Brindle,White,6.0,1,1,75.0,8,6
Cat,Female,No,Domestic Shorthair,Calico,White,0.0,0,1,242.0,5,6
Kitten,Male,No,Domestic Shorthair,Black,White,7.0,0,0,7.0,9,0
Dog,Male,yes,Chihuahua - Long-hair,White,Wheaten,5.0,1,1,1460.0,8,4
Cat,Female,Yes,Domestic Shorthair,Grey Tabby,White,11.0,0,1,3653.0,7,3
Kitten,Female,No,Domestic Shorthair,Grey Tabby,White,0.0,0,0,14.0,7,5
Cat,Female,Yes,Domestic Medium Hair,Calico,Missing,13.0,1,1,1097.0,7,5
Cat,Unknown,Yes,Domestic Long Hair,Cream,Flame Point,2.0,0,1,3952.0,6,6
Dog,Male,Yes,Boxer,Tan,White,0.0,0,1,3797.0,9,5
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Orange,59.0,1,1,736.0,4,1
Dog,Male,yes,Basset Hound,Black Brown,Blue Merle,16.0,1,1,731.0,5,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,67.0,0,1,365.0,5,0
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,10.0,1,1,181.0,8,6
Dog,Female,yes,American Bulldog,Red Merle,Missing,26.0,1,1,1096.0,8,2
Kitten,Male,No,Domestic Shorthair,Grey Tabby,Missing,0.0,0,1,21.0,8,5
Mammal,Unknown,Unknown,Bat - Unspecified,Red,Missing,15.0,0,0,122.0,6,4
Kitten,Male,Yes,Domestic Shorthair,Black,Missing,48.0,1,1,61.0,8,2
Cat,Female,No,Domestic Shorthair,Black Tortoiseshell,Missing,0.0,0,0,365.0,7,4
Dog,Female,Yes,Australian Cattle Dog,Grey,White,0.0,0,1,731.0,5,6
Cat,Unknown,Unknown,Domestic Shorthair,Torbie,Missing,4.0,0,0,122.0,5,5
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,5.0,1,1,365.0,7,0
Cat,Female,Yes,RUSSIAN BLUE,Blue,White,44.0,1,1,1096.0,5,2
Dog,Female,Yes,Labrador Retriever,Brown,Missing,55.0,1,1,1460.0,4,2
